Seq_No,Lat,Lon,Page_No,Line_No,Quotation
45,51.5171,-0.1062,15,13,"Cowper, on the Queen's Visit to London."
47,0,-30,16,4,In the vast Atlantic is
48,90,0,16,6,Flounders round the Polar Sea
49,41.2833,-70.1,16,11,Obed Macy's History of Nantucket
50,51,9,16,13,Gothic Arch
51,3.5134,-156.7969,16,16,a whale in the Pacific Ocean
52,52.5233,13.4127,16,22,in the Berlin Gazette
53,41.2833,-70.1,16,28,Narrative of the Shipwreck of the Whale Ship Essex of Nantucket
54,3.5134,-156.7969,16,29,by a large sperm whale in the Pacific Ocean.
55,41.2833,-70.1,16,30,By Owen Chace of Nantucket
56,40.7142,-74.0064,16,31,"New York, 1821."
57,51.5171,-0.1062,17,3,nearly six English miles
58,67.1039,-50.3323,17,20,(Greenland or Right Whale)
59,41.2833,-70.1,18,2,belonged to the island of Nantucket
60,41.2833,-70.1,18,10,'Nantucket itself'
61,38.8897,-77.0089,18,14,in the U.S. Senate
62,41.2833,-70.1,18,15,of the Breakwater at Nantucket.
63,52.25,4.667,18,24,The voyages of the Dutch
64,50.9212,-0.2187,18,24,and English
65,90,0,18,24,to the Northern Ocean
66,21.7679,78.8718,18,25,passage through it to India
67,75,-90,18,30,that same mystic North-West Passage
68,40.423,-98.7372,18,36,"Currents and Whalings, U.S. Ex. Ex."
69,51.5171,-0.1062,19,1,in the vicinity of London
70,90,0,19,5,Tales of a Whale Voyager to the Arctic Ocean
71,40.423,-98.7372,19,11,crews of Whaling Vessels (American)
72,-54,-70,19,22,(Tierra del Fuego)
73,41.2833,-70.1,19,30,Nantucket Song
76,40.7697,-73.9735,21,14,insular city of the Manhattoes
77,-3.2591,109.7028,21,15,Indian isles
78,40.7037,-74.0161,21,16,Its extreme down-town is the Battery.
79,40.7697,-73.9735,21,19,Circumambulate the city
80,40.7109,-73.9782,21,19,Corlears Hook
81,40.7023,-74.0099,21,20,Coenties Slip
82,40.7023,-74.0129,21,20,by Whitehall
83,32.9043,110.4677,21,23,bulwarks of ships from China
85,36.1539,-95.9925,22,13,the great American desert
86,44.18,-71.13,22,17,valley of the Saco
87,42.0546,-93.3718,22,24,Go visit the Prairies in June
88,43.0944,-79.0569,22,26,Were Niagara but a cataract of sand
89,35.849,-86.2272,22,28,the poor poet of Tennessee
90,40.5867,-73.8115,22,29/30,in a pedestrian trip to Rockaway Beach?
91,33.6804,51.1689,22,33,the old Persians hold the sea holy?
92,38.3228,22.2592,22,34,Greeks give it
93,28.8013,31.1711,23,12,Egyptians upon broiled
94,40.423,-98.7372,24,29,Grand Contested Election for the Presidency of the United States
95,33.9791,66.4849,24,31,Bloody Battle in Afghanistan
96,-49.5445,-68.6738,25,10,of a thousand Patagonian
98,-55.9797,-67.2717,26,2,started for Cape Horn
99,3.5134,-156.7969,26,2,and the Pacific
100,40.7697,-73.9735,26,2,good old city of Manhatto
101,41.6361,-70.9347,26,3,arrived in New Bedford.
102,41.2833,-70.1,26,4,little packet for Nantucket
103,41.6361,-70.9347,26,7,same New Bedford
104,41.2833,-70.1,26,9,than a Nantucket craft
105,41.2833,-70.1,26,10,that famous old island
106,41.6361,-70.9347,26,11,New Bedford has of late
107,41.2833,-70.1,26,12,poor old Nantucket
108,41.2833,-70.1,26,13,Nantucket was her great original
109,33.2689,35.2164,26,13,the Tyre of this Carthage
110,37.1764,-94.31,26,13,the Tyre of this Carthage
111,40.423,-98.7372,26,14,first dead American whale
112,41.2833,-70.1,26,14,but from Nantucket
113,41.2833,-70.1,26,16,And where but from Nantucket
114,41.6361,-70.9347,26,20/21,following before me in New Bedford
117,31.2,35.5,27,20,"destroyed city, Gomorrah?"
121,41.6354,-70.9297,27,25,It was a negro church
123,41.2833,-70.1,27,33,a common name in Nantucket
125,90,0,28,16,what northern lights!
126,49.838,105.8203,28,17,oriental summer climes
127,90,0,28,20,the grand northern lights
128,0,102,29,1,Sumatra than here?
131,-3.15,129.3833,29,6,moored to one of the Moluccas.
133,44.2056,-70.3064,30,8,in the time of the New England hags.
134,43.5,34.5,30,19,It's the Black Sea in a
135,90,0,30,21,It's a Hyperborean winter scene.
136,-55.9797,-67.2717,31,1,The picture represents a Cape-Horner
137,-5.2667,111.7311,31,14/15,was flung in Javan/ seas
138,42.8376,-124.564,31,15,slain off the Cape of Blanco
139,-55.9797,-67.2717,31,36,the Cape Horn measure
140,40.7037,-74.0161,32,12,like a bench on the Battery
141,64.8343,-18.977,32,17,cold as Iceland
142,-18.1667,178.45,32,39,from the Feegees.
143,52.6244,-59.685,33,2,they seemed an eruption of bears from Labrador
144,52.6244,-59.685,33,9,off the coast of Labrador
146,34.7303,-86.5861,33,23,was a Southerner
147,38.6997,-79.5328,33,24,mountaineers from the Alleganian Ridge in Virginia
148,63.9833,-19.7,35,23,Mt. Hecla in a snow storm
149,-13.9234,-166.6406,35,39,arrived from the south seas
150,-41.4395,172.1936,35,40,lot of 'balmed New Zealand heads
151,-14.6048,-59.0625,36,40,in South American ponchos
154,-41.4395,172.1936,37,20,that identical New Zealand head
156,-13.9234,-166.6406,37,40,never been in the South Seas
157,-41.4395,172.1936,37,45/46,the New/ Zealand head
158,-13.9234,-166.6406,38,20,whaleman in the South Seas
159,40.423,-98.7372,38,21,this Christian country
160,-2.6633,23.8864,38,29,three days' old Congo baby
161,-2.6633,23.8864,38,37,for his Congo idol
163,35.21,24.91,41,5,Cretan labyrinth of a figure
164,52.6244,-59.685,43,5,like a Newfoundland dog
168,21.7679,78.8718,45,17,from his Indian voyage
170,-32.6528,-70.0111,45,21/22,the Andes'/ western slope
171,44.2056,-70.3064,45,27,New England traveller
172,56.4396,-4.0532,45,27,"Mungo Park, the Scotch one"
173,60,105,45,28,the mere crossing of Siberia
174,9.1021,18.2812,46,2,negro heart of Africa
175,43.95,-73.0667,46,13,sheepfold among the Green Mountains.
177,41.6361,-70.9347,47,4,New Bedford.
178,40.7701,-73.9821,47,7,Broadway and Chestnut Streets
179,39.9529,-75.18,47,7,Broadway and Chestnut Streets
180,35,18,47,7,Mediterranean mariners
181,51.5108,-0.1361,47,8,Regent street is not unknown
182,21.7679,78.8718,47,8,to Lascars and Malays
183,4.1936,103.7249,47,8,to Lascars and Malays
184,18.9647,72.8258,47,9,"Bombay, in the Apollo Green"
185,44.2056,-70.3064,47,9,live Yankees have often scared the natives
186,41.6361,-70.9347,47,10,New Bedford beats all
187,53.4075,-2.9931,47,10,Water street and Wapping
188,51.5035,-0.0618,47,10,Water street and Wapping
189,41.6361,-70.9347,47,11,but in New Bedford
190,-18.1667,178.45,47,14,Feegeeans
191,-21.1667,12.452,47,14,Tongatabooans
192,-18.8,169.0667,47,14,Erromangoans
193,5.4,100.2333,47,14,Pannangians
195,44.2035,-72.5623,47,17,green Vermonters
196,43.6541,-71.5642,47,18,and New Hampshire men
197,43.95,-73.0667,47,20,as green as the Green Mountains
198,41.6361,-70.9347,48,9,Still New Bedford is a queer place
199,52.6244,-59.685,48,11,the coast of Labrador
200,44.2056,-70.3064,48,13,in all New England
201,33,37,48,14,Canaan
202,40.423,-98.7372,48,16,America will you find
203,41.6361,-70.9347,48,17,than in New Bedford
204,0,-30,48,21,"Atlantic, Pacfic, and Indian oceans."
205,3.5134,-156.7969,48,21,"Atlantic, Pacfic, and Indian oceans."
206,4.5655,66.4453,48,21,"Atlantic, Pacfic, and Indian oceans."
207,41.6361,-70.9347,48,24,"In New Bedford, fathers"
208,41.6361,-70.9347,48,25/26,go to New / Bedford to see
209,41.6361,-70.9347,48,31/32,many a district of New/ Bedford
210,41.6361,-70.9347,48,34,the women of New Bedford
212,42.5194,-70.8972,48,37,save in Salem
213,-3.15,129.3833,48,39,odorous Moluccas
214,42.5194,-70.8972,48,39,the Puritanic sands
216,41.6361,-70.9347,49,1,In the same New Bedford
217,41.6351,-70.9235,49,1,stands a Whaleman's Chapel
218,4.5655,66.4453,49,2,Indian Ocean or Pacific
219,3.5134,-156.7969,49,2,Indian Ocean or Pacific
220,-52.99,-74.3,49,19,Isle of Desolation
221,-49.5445,68.6738,49,19,off Patagonia
222,-7.5,-107.5,50,11,On the Off-shore Ground
223,3.5134,-156.7969,50,12,PACIFIC
224,35.4112,135.8337,50,23,on the coast of Japan
225,18.9583,72.9306,51,7,cave of Elephanta
226,51.2736,1.5083,51,10,secrets than the Goodwin Sands
227,0,120,51,12,remotest Indies of this living earth
228,41.2833,-70.1,51,21,eve of a Nantucket
229,41.2833,-70.1,51,33,three cheers for Nantucket
231,46.803,-71.215,53,10,in his little Quebec
232,50.3644,7.6142,53,18,a lofty Ehrenbreitstein
233,36.293,-6.2553,53,27,Victory's plank where Nelson fell
236,32.0333,34.75,55,34,wharves of Joppa
237,36.5167,-6.2833,55,34,a ship that's bound for Tarshish.
238,36.5167,-6.2833,55,35,By all accounts Tarshish
239,36.5167,-6.2833,55,36,than the modern Cadiz
240,36.5167,-6.2833,55,37,"where is Cadiz, shipmates?"
241,36.5167,-6.2833,55,37,Cadiz is in Spain
242,40.6986,-3.2949,55,37,Cadiz is in Spain
243,32.0333,34.75,55,37,"as far by water, from Joppa"
244,0,-30,55,38,when the Atlantic was an
245,32.0333,34.75,55,39,"Because Joppa,"
246,32.0333,34.75,55,39,the modern Jaffa
247,35,18,55,40,coast of the Mediterranean
248,34.8545,37.0261,55,40,the Syrian
249,36.5167,-6.2833,55,40,Tarshish or Cadiz
250,35.9717,-5.4858,56,1,just outside the Straits of Gibraltar
251,36.5167,-6.2833,56,9,he finds the Tarshish ship
252,31.2,35.5,56,16,in old Gomorrah
253,31.2,35.5,56,17,missing murderers from Sodom
254,36.5167,-6.2833,56,28,this ship to Tarshish
255,36.5167,-6.2833,57,32,the uncheered ship for Tarshish
258,36.3414,43.1292,59,23,the ears of a wicked Nineveh
259,32.0333,34.75,59,25,taking ship at Joppa
260,36.5167,-6.2833,59,25,Tarshish
263,41.6351,-70.9235,,,from the Chapel
264,41.6351,-70.9235,,,he having left the Chapel
265,-55.9797,-67.2717,62,18,by the way of Cape Horn
267,41.6361,-70.9347,63,6,in this famous town
270,90,0,65,23,heart of an arctic crystal
275,40.9978,-72.2931,67,11,A Sag Harbor ship
278,52.3,-3.7,67,20,this sea Prince of Wales
279,40.9978,-72.2931,68,9-Aug,in old Sag/ Harbor
280,41.2833,-70.1,68,9,going on to Nantucket
281,3.5134,-156.7969,68,21,his wild oats in all four oceans
282,0,-30,68,21,his wild oats in all four oceans
283,4.5655,66.4453,68,21,his wild oats in all four oceans
284,90,0,68,21,his wild oats in all four oceans
285,41.2833,-70.1,68,26,"Nantucket, as being the most promising port"
287,41.2833,-70.1,69,9,the little Nantucket packet schooner
288,40.9978,-72.2931,70,10,It was in Sag Harbor.
291,41.6968,-70.9145,70,38,glided down the Acushnet river
292,41.6361,-70.9347,70,38,New Bedford rose
293,60,105,71,7,that Tartar air!
294,21.7679,78.8718,71,14,buckling like Indian canes
296,41.2833,-70.1,73,title,NANTUCKET
297,41.2833,-70.1,73,2,we safely arrived in Nantucket
298,41.2833,-70.1,73,3,Nantucket!
299,50.18,-4.265,73,5,Eddystone lighthouse.
300,56.7577,-86.4196,73,8,Canada
301,41.2833,-70.1,73,10,pieces of wood in Nantucket
302,41.9,12.5,73,10,bits of the true cross in Rome
303,67,26,73,13,Laplander snow-shoes
304,44.2056,-70.3064,73,17,that Nantucket is
305,40.4298,-88.9244,73,17,no Illinois
306,44.2056,-70.3064,73,18,how this island was settled
307,44.2056,-70.3064,73,23,discovered the island
308,44.2056,-70.3064,73,20,New England coast
309,41.2833,-70.1,73,25,that these Nantucketers
310,66,-169,74,3,peeped in at Behring's Straits
311,3.5134,-156.7969,74,3,in all seasons and all oceans
312,0,-30,74,3,in all seasons and all oceans
313,4.5655,66.4453,74,3,in all seasons and all oceans
314,90,0,74,3,in all seasons and all oceans
315,27.9881,86.9253,74,5,"That Himmalehan, salt-sea Mastodon"
316,41.2833,-70.1,74,8,these naked Nantucketers
317,0,-30,74,10,"the Atlantic, Pacific, and Indian oceans"
318,3.5134,-156.7969,74,10,"the Atlantic, Pacific, and Indian oceans"
319,4.5655,66.4453,74,10,"the Atlantic, Pacific, and Indian oceans"
320,51.4273,20.1726,74,11,pirate powers did Poland
321,40.423,-98.7372,74,11,Let America
322,19,-99,74,11,add Mexico
323,31.4484,-97.7817,74,11,to Texas
324,22.0289,-79.937,74,11,and pile Cuba
325,56.7577,-86.4196,74,12,upon Canada
326,50.9212,-0.2187,74,12,Let the English
327,21.7679,78.8718,74,12,overswarm all India
328,41.2833,-70.1,74,13,are the Nantucketer's
329,41.2833,-70.1,74,18,"The Nantucketer, he alone"
330,32.9043,110.4677,74,22,millions in China
331,45.8336,6.865,74,23,as chamois hunters climb the Alps
333,41.2833,-70.1,74,27,"Nantucketer, out of sight of land"
337,41.2833,-70.1,75,5,best kept hotels in all Nantucket
343,42.3,-71.8,79,3,tribe of Massachusetts Indians
345,35.4112,135.8337,79,8,mountainous Japanese junks
346,46,2,79,12,like a French grenadier's
347,28.8013,31.1711,79,13,who has alike fought in Egypt and Siberia
348,60,105,79,13,who has alike fought in Egypt and Siberia
349,35.4112,135.8337,79,14,cut somewhere on the coast of Japan
350,50.9424,7.0292,79,15-16,three old kings of Cologne
351,51.2786,1.0794,79,17,flag-stone in Canterbury Cathedral
352,9.4969,36.8961,79,25,Ethiopian emperor
353,60,105,79,33,felt like a Tartar
354,41.2833,-70.1,80,26,I see thou are no Nantucketer
355,41.2833,-70.1,80,40,insulated Quakerish Nantucketer
356,41.6889,-70.2969,80,42,hailed from Cape Cod
357,41.4,-70.6167,80,42,Cape Cod or the Vineyard
358,-55,-67,82,5,Cape Horn to see any more of it
359,41.2833,-70.1,82,16,People in Nantucket
360,41.2833,-70.1,82,18,indeed many other Nantucketers
361,44.47111,-89.15583,82,29,Scandinavian sea-king
362,41.9,12.5,82,29,or a poetical Pagan Roman
363,41.2833,-70.1,83,9,Nantucket Quakerism
364,-55.9797,-67.2717,83,10,round the Horn
365,0,-30,83,14,invaded the Atlantic and Pacific
366,3.5134,-156.7969,83,14,invaded the Atlantic and Pacific
367,41.2833,-70.1,83,28,"Nantucket, though it certainly seems a curious story"
368,56.9283,11.4281,83,29,Categut whaleman
369,-55.9797,-67.2717,85,41,sailed round Cape Horn
373,-55.9797,-67.2717,86,34,round the Cape
374,41.33444,-70.79583,87,24,"Tistig, at Gay-head"
376,0,-30,91,26,in the Atlantic Ocean
379,41.2833,-70.1,94,14,Nantucket ships
380,41.2833,-70.1,96,25,harpooneer yet out of Nantucket
382,41.2833,-70.1,97,13,all Nantucket
383,41.4,-70.6167,97,13,and the Vineyard
385,35.4112,135.8337,97,21,that typhoon on Japan
387,-55.9797,-67.2717,99,16,off Cape Horn
388,40.6986,-3.2949,99,18,with the Spaniard
389,-9.033333,-78.683333,99,18,afore the altar in Santa
390,41.2833,-70.1,99,21,not all Nantucket
391,-55.9797,-67.2717,100,19,the Cape Horn fit
394,4.5655,66.4453,103,18,going to the Indian
395,3.5134,-156.7969,103,,and Pacific Oceans
397,41.2833,-70.1,107,8,to save the Nantucket pilot-fee
398,53.4,-2.983,107,12_13,chorus about the girls in Booble Alley
401,0,-30,108,6,in the boisterous Atlantic
402,-55.9797,-67.2717,108,14,beyond both stormy Capes
403,-34.3581,18.4719,108,14,beyond both stormy Capes
405,41.2833,-70.1,108,36,supper smoking for ye in old Nantucket
407,-13.9234,-166.6406,109,6,"If ye touch at the islands, Mr. Flask"
408,0,-30,109,14,like fate in the lone Atlantic
410,41.6361,-70.9347,110,2,in New Bedford at the inn
412,52.25,4.667,112,5,the Dutch in De Witt's time
413,46,2,112,6,Louis XVI of France
414,51.0383,2.3775,112,7,from Dunkirk
415,41.2833,-70.1,112,8,our own island of Nantucket
416,50.9212,-0.2187,112,8,Why did Britain
417,40.423,-98.7372,112,10,we whalemen of America
418,28.8013,31.1711,112,21,may well be regarded as that Egyptian mother
419,40.423,-98.7372,112,26,if American
420,53,9,112,26,and European men-of-war
421,41.2833,-70.1,112,31,out of Nantucket
422,41.2833,-70.1,112,36,our heroic Nantucketers
423,-55.9797,-67.2717,112,39,the whale fishery rounded Cape Horn
424,53,9,112,40,carried on between Europe
425,40.6986,-3.2949,112,41,the opulent Spanish provinces
426,3.5134,-156.7969,112,41,on the Pacific coast
427,40.6986,-3.2949,113,1,policy of the Spanish crown
428,-11.2583,-75.1374,113,3,"liberation of Peru,"
429,-35.1234,-71.572,113,3,"Chili,"
430,-18.4258,-66.5304,113,3,and Bolivia from the yoke
431,40.6986,-3.2949,113,3_4,Old Spain
432,40.423,-98.7372,113,5,That great America
433,-32.3456,141.4346,113,5,"Australia, was given to"
434,52.25,4.667,113,7,Dutchman
435,-32.3456,141.4346,113,9,first Australian settlement
436,-13.9234,-166.6406,113,11,uncounted isles of all Polynesia
437,35.4112,135.8337,113,14,"double-bolted land, Japan"
438,62,10,114,8,"Other, the Norweigian"
439,41.2833,-70.1,114,15,old settlers of Nantucket
440,41.9,12.5,114,24,given to a Roman general
441,33.5,36.3,114,25,all the way from the Syrian coast
443,41.3081,-72.9286,114,40,Yale College
444,42.373611,-71.110556,114,40,and my Harvard
446,50.9212,-0.2187,116,12,ye loyal Britons!
448,41.2833,-70.1,117,1,"Starbuck, a native of Nantucket"
449,21.7679,78.8718,117,4,Transported to the Indies
450,28.8013,31.1711,117,12,like a revivified Egyptian
451,41.6889,-70.2969,117,26,young Cape wife and child
453,41.6889,-70.2969,120,1,native of Cape Cod
454,41.6889,-70.2969,120,2,called a Cape-Cod-man
456,41.4,-70.6167,121,7,in Martha's Vineyard
457,-55.9797,-67.2717,121,18,three years' voyage round Cape Horn
458,41.33444,-70.79583,121,40,Gay Head
459,41.4,-70.6167,121,41,promontory of Martha's Vineyard
460,41.2833,-70.1,122,1,neighboring island of Natucket
461,41.33444,-70.79583,122,3,Gay Head
462,-90,0,122,4,Antarctic in their glittering
463,44.2056,-70.3064,122,6_7,great New England moose
464,9.1021,18.2812,122,19,anywhere in the world but in Africa
465,41.2833,-70.1,122,19,Nantucket
466,40.423,-98.7372,122,28,American whale
467,40.423,-98.7372,122,29,Americans born
468,40.423,-98.7372,122,30,American whale fishery
469,40.423,-98.7372,122,30,American Army
471,40.423,-98.7372,122,33,native American
472,37.74111,-25.67556,122,35,"Azores, where the outbound"
473,41.2833,-70.1,122,35,Nantucket whalers
474,67.1039,-50.3323,122,37,Greenland whalers
476,51.5171,-0.1062,122,37,or London
477,60.2452,-1.613,122,37,put in at the Shetland Islands
478,-13.9234,-166.6406,122,39,Islanders seem to make the best
479,-13.9234,-166.6406,122,40,nearly all Islanders
480,32.36167,-86.27917,123,6,poor Alabama boy!
482,41.2833,-70.1,124,1,leaving Nantucket
483,44.47111,-89.15583,124,21,wild Scandinavian vocation
484,40.423,-98.7372,124,26,every one of them Americans
485,41.2833,-70.1,124,26,a Nantucketer
486,41.4,-70.6167,124,26,a Vineyarder
487,41.6889,-70.2969,124,26,a Cape man
488,90,0,124,28,Polar weather
489,54.1473,-4.6888,125,26,Manxman insinuated
490,41.2833,-70.1,125,27,"Nantucket, had never ere this laid eye"
491,54.1473,-4.6888,125,28,old Manxman
492,35.4112,135.8337,125,37_38,dismasted off Japan
493,41.33444,-70.79583,125,38,Gay Head Indian
495,-0.25,-78.583333,127,2,through the bright Quito spring
497,33.6804,51.1689,127,4,crystal goblets of Persian sherbert
499,62,10,130,5,In old Norse times
500,55.72,12.57,130,5,sea-loving Danish kings
502,50.9212,-0.2187,132,12,old England
504,67.1039,-50.3323,134,3,On the separate subject of the Greenland or right-whale
505,67.1039,-50.3323,134,5,compared with which the Greenland whale
506,67.1039,-50.3323,134,6,"here be it said, that the Greenland whale"
507,67.1039,-50.3323,134,12,will satisfy you that the Greenland whale
508,51.5073,-0.1276,134,14,This is Charing Cross
509,67.1039,-50.3323,134,15,Greenland whale is deposed
510,50.9212,-0.2187,134,19,English South-Sea whale-ships
511,-13.9234,-166.6406,134,19,English South-Sea whale-ships
513,41.2833,-70.1,135,9,"Charley Coffin, of Nantucket"
514,41.2833,-70.1,135,28,best informed Nantucketers
515,41.2833,-70.1,135,33,the Coffins of Nantucket
516,50.9212,-0.2187,136,10,"The whale, among the English"
517,46,2,136,12,the Cachalot of the French
518,51,9,136,12,the Pottfisch of the German
519,50.9212,-0.2187,136,22,England as the Greenland
520,67.1039,-50.3323,136,22,as the Greenland or Right Whale
521,67.1039,-50.3323,136,23,quickening humor of the Greenland Whale
522,67.1039,-50.3323,136,35,the Greenland Whale
523,50.9212,-0.2187,136,39,of the English naturalists
524,67.1039,-50.3323,136,39,the Greenland Whale of the English
525,50.9212,-0.2187,136,39,the Greenland Whale of the English
526,46,2,136,40,Baleine Ordinaire of the French whalemen
527,59.2685,15.7591,136,41,of the Swedes
528,52.25,4.667,136,42,hunted by the Dutch and English
529,50.9212,-0.2187,136,42,hunted by the Dutch and English
530,90,0,136,42,in the Arctic Seas
531,40.423,-98.7372,136,43,American fishermen have long pursued
532,4.5655,66.4453,136,43,pursued in the Indian Ocean
533,-15.6778,-47.4384,136,43,on the Brazil Banks
534,44.05194,-123.08667,137,1,the Nor'West Coast
536,67.1039,-50.3323,137,3,difference between the Greenland whale
537,50.9212,-0.2187,137,3,Greenland whale of the English
538,40.423,-98.7372,137,4,right whale of the Americans
539,0,-30,137,13,passengers crossing the Atlantic
540,42.3482,-75.189,137,13,in the New York packet-tracks
541,67.1039,-50.3323,138,9,humpbacked whale and the Greenland whale
542,67.1039,-50.3323,138,17,Greenland whale's anatomy
543,67.1039,-50.3323,138,19,Greenland whale
544,44.05194,-123.08667,138,26,northern American coast
545,-55.9797,-67.2717,138,33,at a distance off Cape Horn
547,41.2833,-70.1,138,43,the oldest Nantucketer
548,41.9,12.5,139,22,Roman nose
549,90,0,140,3,surface of the Polar Sea
550,51.4788,-0.0106,140,17,window of Greenwich Palace
551,51.694262,-2.029724,140,17,sailed down the Thames
552,51.4839,-0.6044,140,20,hung in the castle at Windsor
553,53,-7,140,20,an Irish author
554,41.2833,-70.1,140,28,known to the Nantucketer
555,3.5134,-156.7969,141,24,"only found, I think, in the Pacific"
556,3.5134,-156.7969,141,28,only found in the Pacific
557,50.9212,-0.2187,141,29,English name
558,21.7679,78.8718,141,34,Indian eyes of a hazel hue
559,40.423,-98.7372,142,2,American whalemen
560,-55.9797,-67.2717,142,8,Cape Whale
561,64.8343,-18.977,142,10,"Icelandic, Dutch, and old English authorities"
562,52.25,4.667,142,10,Dutch and old English authorities
563,50.9212,-0.2187,142,10,old English authorities
564,50.9424,7.0292,142,17,Cologne was left
566,52.25,4.667,143,6,old Dutch fishery
567,67.1039,-50.3323,143,13,British Greenland Fishery
568,52.25,4.667,143,14,Dutch official
569,40.423,-98.7372,143,17,in the American Fishery
570,40.423,-98.7372,143,25,most of the American
571,35.166667,42,144,5,an old Mesopotamian family
572,41.2833,-70.1,144,8,the Nantucket ships
573,51,9,144,29,Empire from the world's hustings
574,41.2833,-70.1,145,1,all his Nantucket grimness
576,39.1988,34.0723,146,19,right over the Grand Turk's head
577,32.5417,44.4233,147,5,"Belshazzar, King of Babylon"
578,50.1167,8.6833,147,26,like the Coronation banquet at Frankfort
579,51,9,147,27,German Emperor profoundly dines
580,21.7679,78.8718,148,24,like Indian ships
581,40.423,-98.7372,148,41,filed teeth to the Indian's
582,9.1021,18.2812,149,3,African elephant goes passenger
583,41.5167,-2.8167,149,23,Moorish scimetars
584,40.423,-98.7372,149,28,exception to most American whale captains
586,38.5,-92.5,149,38,lived in settled Missouri
588,40.423,-98.7372,150,3,American whalemen
589,28.8013,31.1711,150,12,the old Egyptians
590,32.5417,44.4233,150,13,the builders of Babel
591,49.838,105.8203,150,14,loftiest mast-head in all Asia
592,9.1021,18.2812,150,14,"Asia, or Africa"
593,32.5417,44.4233,150,17,Babel builders
594,28.8013,31.1711,150,17,priority over the Egyptians
595,28.8013,31.1711,150,17,And that the Egyptians
596,29.9792,31.1342,150,19,the first pyramids were founded
597,48.8675,2.3294,151,5,the column of Vendome
598,39.2833,-76.6167,151,8,towering main-mast in Baltimore
599,35.9717,-5.4858,151,9,Hercules' pillars
600,51.5081,-0.1281,151,11,mast-head in Trafalgar Square
601,51.5171,-0.1062,151,11,obscured by that London
602,41.2833,-70.1,151,20,historian of Nantucket
603,-41.4395,172.1936,151,25,Bay whalemen of New Zealand
604,36.4438,28.2268,151,34,Colossus at old Rhodes
605,46.55917,8.56139,152,14,snowy Alps in winter
606,67.1039,-50.3323,152,20,look-outs of a Greenland whaler
607,67.1039,-50.3323,152,22,in quest of the Greenland Whale
608,64.8343,-18.977,152,23,Lost Icelandic Colonies
609,67.1039,-50.3323,152,23,Colonies of Old Greenland
610,67.1039,-50.3323,153,18,his Greenland-men were
611,41.2833,-70.1,153,30,ye ship-owners of Nantucket!
613,40.6986,-3.2949,157,22,Spanish ounce of gold
614,41.2833,-70.1,158,16,a pile of our Nantucket wool
615,-34.3581,18.4719,158,29,chase him round Good Hope
616,-55.9797,-67.2717,158,29,and round the Horn
617,67.933889,13.089444,158,29-30,and round the Norway Maelstrom
619,41.2833,-70.1,159,2,Nantucket market
